timestamp,price,return,price_lag_1,price_lag_2,price_lag_3,sma_5,sma_10,ema_5,ema_10,volatility_7,volatility_14
2025-11-24 11:01:42.555,86001.79035541319,0.0005569356015826,85953.91955751604,86764.94391947515,87075.74513315319,86528.22155720311,86840.87273202708,86418.98539746078,86675.39599592518,0.005853126189375987,0.005934229119505912
2025-11-24 12:01:52.847,86268.29336648472,0.0030988077105158,86001.79035541319,85953.91955751604,86764.94391947515,86412.93846640845,86782.84740279644,86368.75472046877,86601.3773360269,0.0058438130257100615,0.005838312867992389
2025-11-24 13:00:55.710,85957.05408472917,-0.0036078061777963,86268.29336648472,86001.79035541319,85953.91955751604,86189.20025672365,86628.70723037417,86231.52117522224,86484.22765397276,0.0046579885425918535,0.00585720161299444
2025-11-24 14:00:37.688,86269.6656515316,0.0036368343486303,85957.05408472917,86268.29336648472,86001.79035541319,86090.14460313495,86527.62801834119,86244.2360006587,86445.21638080165,0.004781510766188975,0.005125566883172327
2025-11-24 15:02:38.643,86192.31160547498,-0.0008966540611049,86269.6656515316,85957.05408472917,86268.29336648472,86137.82301272675,86471.58892934489,86226.9278689308,86399.23369437862,0.004516960816221489,0.005112574000542211
2025-11-24 16:01:37.296,86425.72745227045,0.0027080819906986,86192.31160547498,86269.6656515316,85957.05408472917,86222.61043209818,86375.41599465066,86293.19439671069,86404.05074126805,0.0046466460515698915,0.005119937571981917
2025-11-24 17:02:08.033,87219.59492448122,0.0091855457352001,86425.72745227045,86192.31160547498,86269.6656515316,86412.87074369748,86412.90460505299,86601.9945726342,86552.33150185226,0.004038856805829396,0.005335601240858368
2025-11-24 18:01:58.882,88428.17629657475,0.0138567643330604,87219.59492448122,86425.72745227045,86192.31160547498,86907.0951860666,86548.14772139513,87210.72181394772,86893.3941918018,0.0058951203549345,0.0064678298397260366
2025-11-24 19:00:57.631,88599.03241522705,0.0019321456780843,88428.17629657475,87219.59492448122,86425.72745227045,87372.96853880568,86731.55657097032,87673.49201437418,87203.51023242457,0.005941071073937309,0.006147191448112657
2025-11-24 20:01:24.461,88356.83122629141,-0.0027336775846551,88599.03241522705,88428.17629657475,87219.59492448122,87805.87246296897,86971.84773784786,87901.27175167993,87413.20495858218,0.005765247490130683,0.006003696249648748
